Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
356,0.0822,0.9698,0.2275,0.9229
357,0.1010,0.9693,0.2145,0.9328
358,0.0867,0.9639,0.2083,0.9328
359,0.0938,0.9629,0.2107,0.9289
360,0.0799,0.9679,0.2375,0.9150
361,0.0953,0.9674,0.2463,0.9130
362,0.0959,0.9644,0.2616,0.9111
363,0.0868,0.9688,0.2480,0.9170
364,0.0784,0.9674,0.2320,0.9229
365,0.0791,0.9718,0.2079,0.9368
366,0.0832,0.9688,0.2092,0.9269
367,0.0962,0.9718,0.2129,0.9209
368,0.0599,0.9773,0.2193,0.9308
369,0.0982,0.9644,0.2004,0.9289
370,0.0983,0.9679,0.2239,0.9150
371,0.0799,0.9679,0.2493,0.9150
372,0.0788,0.9683,0.2113,0.9269
373,0.0817,0.9669,0.2298,0.9170
374,0.0751,0.9758,0.2065,0.9328
375,0.0808,0.9679,0.2288,0.9229
376,0.0764,0.9723,0.2223,0.9249
377,0.0637,0.9763,0.2048,0.9387
378,0.0677,0.9728,0.2047,0.9407
379,0.0882,0.9713,0.2053,0.9387
380,0.0673,0.9743,0.1966,0.9348
381,0.0872,0.9713,0.2605,0.9111
382,0.0723,0.9738,0.2254,0.9269
383,0.0823,0.9728,0.2739,0.9150
384,0.0861,0.9723,0.2424,0.9249
385,0.0872,0.9649,0.2362,0.9190
386,0.0845,0.9644,0.2250,0.9170
387,0.0732,0.9748,0.1927,0.9348
388,0.0816,0.9698,0.2250,0.9209
389,0.0903,0.9609,0.2021,0.9328
390,0.0718,0.9738,0.1983,0.9348
391,0.0872,0.9654,0.2087,0.9328
392,0.0617,0.9758,0.2165,0.9328
393,0.0767,0.9713,0.2088,0.9407
394,0.0817,0.9708,0.2044,0.9447
395,0.0753,0.9708,0.2148,0.9387
396,0.1023,0.9664,0.2278,0.9407
397,0.0931,0.9669,0.2150,0.9368
398,0.0674,0.9723,0.2205,0.9407
399,0.0820,0.9738,0.2214,0.9308
400,0.0852,0.9698,0.2522,0.9170
401,0.0814,0.9723,0.2247,0.9289
402,0.0709,0.9758,0.2012,0.9407
403,0.0787,0.9718,0.1894,0.9407
404,0.0651,0.9733,0.1875,0.9427
405,0.0773,0.9748,0.2191,0.9387
406,0.0834,0.9758,0.2136,0.9289
407,0.0844,0.9688,0.1884,0.9368
408,0.0720,0.9718,0.1946,0.9368
409,0.0894,0.9674,0.1827,0.9348
410,0.0811,0.9703,0.2220,0.9289
411,0.0611,0.9733,0.1970,0.9348
412,0.0706,0.9708,0.2271,0.9308
413,0.0701,0.9768,0.2158,0.9368
414,0.0742,0.9748,0.1908,0.9407
415,0.0738,0.9738,0.2056,0.9348
416,0.0680,0.9738,0.2038,0.9328
417,0.0653,0.9758,0.2044,0.9328
418,0.0756,0.9777,0.2026,0.9289
419,0.0594,0.9758,0.1919,0.9407
420,0.0835,0.9698,0.1950,0.9308
421,0.0713,0.9698,0.2259,0.9249
422,0.0869,0.9679,0.2243,0.9229
423,0.0845,0.9703,0.2243,0.9190
424,0.0666,0.9787,0.2165,0.9289
425,0.0874,0.9718,0.1979,0.9368
426,0.0785,0.9693,0.2177,0.9229
427,0.0743,0.9728,0.2312,0.9328
428,0.0721,0.9743,0.1967,0.9348
429,0.0745,0.9748,0.2265,0.9308
430,0.0732,0.9728,0.2457,0.9209
431,0.0785,0.9708,0.1721,0.9407
432,0.0715,0.9693,0.2019,0.9308
433,0.0796,0.9679,0.1941,0.9348
434,0.0903,0.9698,0.2078,0.9328
435,0.0640,0.9763,0.1995,0.9368
436,0.0683,0.9768,0.2112,0.9328
437,0.0772,0.9728,0.2044,0.9368
438,0.0781,0.9718,0.2140,0.9328
439,0.0771,0.9753,0.2370,0.9170
440,0.0809,0.9693,0.2297,0.9209
441,0.0806,0.9683,0.1944,0.9328
442,0.1024,0.9614,0.1966,0.9328
443,0.0785,0.9669,0.1873,0.9328
444,0.0691,0.9728,0.1866,0.9368
445,0.0859,0.9683,0.2112,0.9249
446,0.0658,0.9743,0.1838,0.9328
447,0.0756,0.9753,0.1940,0.9308
448,0.0654,0.9733,0.2305,0.9249
449,0.0796,0.9713,0.2298,0.9170
450,0.0745,0.9743,0.2118,0.9328
451,0.0843,0.9679,0.2038,0.9328
452,0.0676,0.9723,0.2435,0.9150
453,0.0743,0.9708,0.2044,0.9190
454,0.0759,0.9733,0.1903,0.9289
455,0.0862,0.9713,0.2146,0.9190
456,0.0665,0.9758,0.2176,0.9209
457,0.0843,0.9688,0.2300,0.9130
458,0.0756,0.9748,0.2204,0.9269
459,0.0659,0.9723,0.1944,0.9328
460,0.0798,0.9718,0.1775,0.9447
461,0.0606,0.9738,0.1856,0.9328
462,0.0633,0.9768,0.1972,0.9328
463,0.0869,0.9703,0.1890,0.9328
464,0.0610,0.9758,0.2060,0.9308
465,0.0674,0.9758,0.2052,0.9308
466,0.0680,0.9787,0.2232,0.9308
467,0.0802,0.9698,0.2256,0.9289
468,0.0616,0.9773,0.1982,0.9328
469,0.0723,0.9738,0.2068,0.9348
470,0.0632,0.9773,0.2119,0.9289
471,0.0590,0.9787,0.2022,0.9368
472,0.0853,0.9698,0.2500,0.9111
